threshold,split_date,train_trades,train_wins,train_losses,train_timeouts,train_win_rate_pct,train_profit_factor,train_net_points,train_max_drawdown_points,train_expectancy_r,oos_trades,oos_wins,oos_losses,oos_timeouts,oos_win_rate_pct,oos_profit_factor,oos_net_points,oos_max_drawdown_points,oos_expectancy_r
40.0,2026-07-30,4603,1808,2795,955,39.279,0.8506,-1502.9543,1740.4372,-0.21816,2992,1198,1794,657,40.04,0.8061,-1407.6317,1419.107,-0.24177
45.0,2026-07-30,4233,1669,2564,900,39.428,0.8689,-1212.4767,1527.3981,-0.20346,2745,1109,1636,624,40.401,0.8086,-1278.9971,1283.3215,-0.15825
50.0,2026-07-30,3458,1359,2099,735,39.3,0.8166,-1431.4213,1589.267,-0.20462,2248,911,1337,525,40.525,0.8321,-871.5521,927.8968,-0.15061
55.0,2026-07-30,3224,1260,1964,697,39.082,0.8168,-1332.6252,1537.4818,-0.20983,2129,858,1271,495,40.301,0.8276,-847.3618,907.4965,-0.15329
60.0,2026-07-30,2454,958,1496,546,39.038,0.8338,-875.2037,1102.7271,-0.2092,1644,647,997,400,39.355,0.7737,-873.7208,943.0766,-0.19511
65.0,2026-07-30,1911,735,1176,427,38.462,0.821,-723.4087,909.1236,-0.22944,1302,511,791,320,39.247,0.7176,-824.5989,898.4317,-0.18686
70.0,2026-07-30,1454,563,891,339,38.721,0.8108,-607.9731,814.1433,-0.21844,991,386,605,253,38.951,0.7603,-529.472,610.6944,-0.18163
