symbol
RELIANCE
HDFCBANK
ICICIBANK
SBIN
INFY
TCS
BHARTIARTL
ITC
LT
AXISBANK
KOTAKBANK
MARUTI
SUNPHARMA
HINDUNILVR
TITAN
ADANIENT
ADANIPORTS
NTPC
POWERGRID
ONGC
COALINDIA
TATASTEEL
JSWSTEEL
HINDALCO
BAJFINANCE
BAJAJFINSV
INDUSINDBK
HCLTECH
WIPRO
TECHM
ULTRACEMCO
ASIANPAINT
NESTLEIND
EICHERMOT
HEROMOTOCO
BAJAJ_AUTO
TRENT
BEL
HAL
ZOMATO
JIOFIN
DLF
IOC
BPCL
GRASIM
CIPLA
DRREDDY
DIVISLAB
TATAMOTORS
TATACONSUM
